Idea_ID	Idea_Number	Idea_Author_ID	Idea_Author_Department	Idea_Author_Title	Up_Down	Voter_ID	Voter_Department	Voter_Title	Timestamp
273742	11	247287	Ü?D	Software Architect	Up	247125	SPHvDTUD	Software Architect	7/11/2017 6:48
273742	11	247287	Ü?D	Software Architect	Up	247287	Ü?D	Software Architect	7/11/2017 7:01
273742	11	247287	Ü?D	Software Architect	Down	247345	KÜGD	Software Analyst	7/24/2017 22:35
273742	11	247287	Ü?D	Software Architect	Up	247462	KÖS?GD	Team Manager (IA)	7/13/2017 0:10
273742	11	247287	Ü?D	Software Architect	Up	247506	UBD	Team Manager	7/17/2017 0:53
273742	11	247287	Ü?D	Software Architect	Up	247554	K?vTD	Software Analyst	7/19/2017 7:28
273742	11	247287	Ü?D	Software Architect	Down	247594	KÖS?GD	Program Manager	7/12/2017 3:09
273742	11	247287	Ü?D	Software Architect	Up	247698	K?vTD	Manager	7/18/2017 2:21
273742	11	247287	Ü?D	Software Architect	Up	247715	HYD	Application Support Expert Deputy	7/12/2017 1:09
273742	11	247287	Ü?D	Software Architect	Down	247750	FvKUD	Software Analyst	7/11/2017 7:03
273742	11	247287	Ü?D	Software Architect	Down	247789	SG	Solution Architect	7/13/2017 23:26
273742	11	247287	Ü?D	Software Architect	Up	247824	MKDD	Software Architect	7/25/2017 0:34
273742	11	247287	Ü?D	Software Architect	Up	247843	Ü?D	Software Analyst	7/14/2017 6:36
273742	11	247287	Ü?D	Software Architect	Up	247848	Ü?D	Software Analyst	7/11/2017 7:16
273742	11	247287	Ü?D	Software Architect	Up	247947	BH	Staff_Hosp	7/13/2017 3:41
273746	12	247848	Ü?D	Software Analyst	Up	247251	MvKDY?GD	Project Officer	7/13/2017 7:12
273746	12	247848	Ü?D	Software Analyst	Up	247252	ÖUD	Program Director	7/11/2017 23:17
273746	12	247848	Ü?D	Software Analyst	Up	247275	MvMUD	Software Architect	7/20/2017 23:06
273746	12	247848	Ü?D	Software Analyst	Up	247287	Ü?D	Software Architect	7/11/2017 7:13
273746	12	247848	Ü?D	Software Analyst	Up	247331	SAvS?D	Software Analyst	7/20/2017 5:28
